anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
27/08/2020;2020;8;Pretahub;São Paulo;RM São Paulo;Instalação espaço  de desenvolvimento de inovações para o afroempreendedor;Serviços;Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas
27/08/2020;2020;8;Hortifruti Pivotto Delivery;São José do Rio Preto;RA São José do Rio Preto;Abertura hortifruti com variedade de produtos frescos;Comércio;Comércio varejista
26/08/2020;2020;8;JBS;Presidente Epitácio;RA Presidente Prudente;Construção fábrica de peptídeos de colágeno bioativos e gelatina;Indústria;Fabricação de produtos alimentícios
26/08/2020;2020;8;JBS;Presidente Epitácio;RA Presidente Prudente;Implantação fábrica de produção de heparina, anticoagulante extraída da mucosa intestinal de porcos e bois, e um entreposto;Indústria;Fabricação de produtos farmoquímicos e farmacêuticos
26/08/2020;2020;8;Vinicius Chieffi;São José dos Campos;RA São José dos Campos;Instalação consultório médico no edifício Helbor Offices;Serviços;Atividades de atenção à saúde humana
26/08/2020;2020;8;Max Atacadista;Catanduva;RA São José do Rio Preto;Inauguração atacadista  de mercearia, alimentos, perecíveis, bazar, embalagens, higiene, bebidas e limpeza;Comércio;Comércio por atacado, exceto veículos automotores e motocicletas
26/08/2020;2020;8;Vamos;São Paulo;RM São Paulo;Compra caminhão(ões) Volkswagen, 2350 unidades para locadoraI de caminhões, máquinas e equipamentos;Serviços;Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros
26/08/2020;2020;8;Fundação Butantan;São Paulo;RM São Paulo;Reforma fábrica para a produção 120 milhões de doses de vacinas contra o corona vírus a partir de 2021;Indústria;Fabricação de produtos farmoquímicos e farmacêuticos
25/08/2020;2020;8;Shopping Patteo Urupema;Mogi das Cruzes;RM São Paulo;Construção Shopping Center entre as avenida Pinheiro Franco e ruas Santana, Rui Barbosa e Santos Cardos;Serviços;Atividades imobiliárias
24/08/2020;2020;8;Ball Embalagens;São José dos Campos;RA São José dos Campos;Abertura sede administrativa da companhia de embalagens sustentáveis de alumínio;Serviços;Atividades de sedes de empresas e de consultoria em gestão empresarial
24/08/2020;2020;8;BYD;Campinas;RA Campinas;Compra maquinário como soldas automatizadas para a produção de baterias para caminhões elétricos;Indústria;Fabricação de máquinas, aparelhos e materiais elétricos
24/08/2020;2020;8;BYD e Unicamp;Campinas;RA Campinas;Instalação equipamento  para estudos de vários tipos de módulos fotovoltaicos de acordo com o clima e a temperatura;Serviços;Pesquisa e desenvolvimento científico
22/08/2020;2020;8;Pelle & Capelli;Santo André;RM São Paulo;Inauguração Centro de tratamentos, serviços e procedimentos estéticos na Rua Siqueira Campos;Serviços;Outras atividades de serviços pessoais
22/08/2020;2020;8;Tauste Supermercado;Sorocaba;RA Sorocaba;Construção supermercado de mercadorias em geral na avenida General Carneiro;Comércio;Comércio varejista
22/08/2020;2020;8;Aya Tech;São Paulo;RM São Paulo;Abertura empresa especializada em produtos antibacterianos, para roupas e superfícies, e repelentes para insetos;Indústria;Fabricação de produtos químicos
22/08/2020;2020;8;Testfy;São Paulo;RM São Paulo;Abertura empresa especializada em healthtech, sistema conecta serviços laboratoriais em modelos acessíveis de coleta, usando como amostra de saliva, swab e sangue em microtubo ou papel  filtro;Serviços;Atividades de atenção à saúde humana
21/08/2020;2020;8;Hospital Santa Clara;Santos;RA Santos;Reforma ala  do anexo, e tem 18 apartamentos, duas enfermarias e 22 leitos e compra de equipamento Magnetom Sempra, de ressonância magnética para o hospital;Serviços;Atividades de atenção à saúde humana
